Sample,Genotype,Gene,Cq,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
7_5,WT,Lrp3,23.2,23.15,8.34,,,,,,,3.35,,,,
7_5,WT,Lrp3,23.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Lyst,19.74,19.745,7.38,6.92625,0.6075,0.656333056,-1.523616694,,,1.385,1.4925,0.23,0.852634892,-1.172834949
5_1,KO,Lyst,19.75,,,,,,,,,,,,,
6_8,KO,Lyst,20.63,20.57,6.705,,,,,,,1.56,,,,
6_8,KO,Lyst,20.51,,,,,,,,,,,,,
7_2,KO,Lyst,21.75,21.665,6.81,,,,,,,1.535,,,,
7_2,KO,Lyst,21.58,,,,,,,,,,,,,
7_6,KO,Lyst,20.82,20.72,6.81,,,,,,,1.49,,,,
7_6,KO,Lyst,20.62,,,,,,,,,,,,,
6_4,WT,Lyst,20.52,20.435,6.185,6.31875,,,,,,1.04,1.2625,,,
6_4,WT,Lyst,20.35,,,,,,,,,,,,,
6_6,WT,Lyst,20.77,20.67,6.315,,,,,,,1.26,,,,
6_6,WT,Lyst,20.57,,,,,,,,,,,,,
7_1,WT,Lyst,20.94,20.76,6.335,,,,,,,1.3,,,,
7_1,WT,Lyst,20.58,,,,,,,,,,,,,
7_5,WT,Lyst,21.35,21.25,6.44,,,,,,,1.45,,,,
7_5,WT,Lyst,21.15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Mamdc2,23.77,23.655,11.29,11.28375,0.61625,0.652364418,-1.532885566,,,5.295,5.85,0.23875,0.847479279,-1.179969852
5_1,KO,Mamdc2,23.54,,,,,,,,,,,,,
6_8,KO,Mamdc2,25.44,25.185,11.32,,,,,,,6.175,,,,
6_8,KO,Mamdc2,24.93,,,,,,,,,,,,,
7_2,KO,Mamdc2,26.04,26.07,11.215,,,,,,,5.94,,,,
7_2,KO,Mamdc2,26.1,,,,,,,,,,,,,
7_6,KO,Mamdc2,25.23,25.22,11.31,,,,,,,5.99,,,,
7_6,KO,Mamdc2,25.21,,,,,,,,,,,,,
6_4,WT,Mamdc2,25.11,25.135,10.885,10.6675,,,,,,5.74,5.61125,,,
6_4,WT,Mamdc2,25.16,,,,,,,,,,,,,
6_6,WT,Mamdc2,25.11,25.03,10.675,,,,,,,5.62,,,,
6_6,WT,Mamdc2,24.95,,,,,,,,,,,,,
7_1,WT,Mamdc2,25.01,24.92,10.495,,,,,,,5.46,,,,
7_1,WT,Mamdc2,24.83,,,,,,,,,,,,,
7_5,WT,Mamdc2,25.61,25.425,10.615,,,,,,,5.625,,,,
7_5,WT,Mamdc2,25.24,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Mtap1a,30.67,28.775,16.41,16.06375,0.2375,0.848213882,-1.178947929,,,10.415,10.63,-0.14,1.101905116,-0.907519155
5_1,KO,Mtap1a,26.88,,,,,,,,,,,,,
6_8,KO,Mtap1a,30.87,29.23,15.365,,,,,,,10.22,,,,
6_8,KO,Mtap1a,27.59,,,,,,,,,,,,,
7_2,KO,Mtap1a,N/A,30.44,15.585,,,,,,,10.31,,,,
7_2,KO,Mtap1a,30.44,,,,,,,,,,,,,
7_6,KO,Mtap1a,32.7,30.805,16.895,,,,,,,11.575,,,,
7_6,KO,Mtap1a,28.91,,,,,,,,,,,,,
6_4,WT,Mtap1a,32.06,30.255,16.005,15.82625,,,,,,10.86,10.77,,,
6_4,WT,Mtap1a,28.45,,,,,,,,,,,,,
6_6,WT,Mtap1a,31.04,29.565,15.21,,,,,,,10.155,,,,
6_6,WT,Mtap1a,28.09,,,,,,,,,,,,,
7_1,WT,Mtap1a,31.72,29.83,15.405,,,,,,,10.37,,,,
7_1,WT,Mtap1a,27.94,,,,,,,,,,,,,
7_5,WT,Mtap1a,34.31,31.495,16.685,,,,,,,11.695,,,,
7_5,WT,Mtap1a,28.68,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,OPN4,N/A,35.24,22.875,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,16.88,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5_1,KO,OPN4,35.24,,,,,,,,,,,,,
6_8,KO,OPN4,N/A,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,
6_8,KO,OPN4,N/A,,,,,,,,,,,,,
7_2,KO,OPN4,26.14,21.2,6.345,,,,,,,1.07,,,,
7_2,KO,OPN4,16.26,,,,,,,,,,,,,
7_6,KO,OPN4,N/A,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,
7_6,KO,OPN4,N/A,,,,,,,,,,,,,
6_4,WT,OPN4,26.06,25.82,11.57,11.545,,,,,,6.425,6.48875,,,
6_4,WT,OPN4,25.58,,,,,,,,,,,,,
6_6,WT,OPN4,25.81,25.55,11.195,,,,,,,6.14,,,,
6_6,WT,OPN4,25.29,,,,,,,,,,,,,
