Sample,Genotype,Gene,Cq,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
4_4,KO,Lyst,21.04,21.03,6.835,,21.60889089,,,,,1.95,,,,
4_4,KO,Lyst,21.02,,,,,,,,,,,,,
9_3,KO,Lyst,20.39,20.38,6.905,,,,,,,1.65,,,,
9_3,KO,Lyst,20.37,,,,,,,,,,,,,
2_1,WT,Lyst,19.89,19.95,6.665,6.6225,,,,,,1.405,1.485,,,
2_1,WT,Lyst,20.01,,,,,,,,,,,,,
2_3,WT,Lyst,20.18,20.18,6.47,,0.88635288,,,,,1.175,,,,
2_3,WT,Lyst,20.18,,,,18.83979424,,,,,,,,,
3_5,WT,Lyst,21.95,22.03,6.815,,22.38520576,,,,,2.02,,,,
3_5,WT,Lyst,22.11,,,,,,,,,,,,,
9_1,WT,Lyst,20.27,20.29,6.54,,,,,,,1.34,,,,
9_1,WT,Lyst,20.31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,Mamdc2,25.71,25.8,11.575,11.14,0.8325,0.561555298,-1.780768527,,,6.665,6.1975,1.0275,0.490559487,-2.038488757
1_13,KO,Mamdc2,25.89,,,,,,,,,,,,,
4_1,KO,Mamdc2,25.58,25.655,10.98,,0.855682685,,,,,6.26,,,,
4_1,KO,Mamdc2,25.73,,,,23.57113463,,,,,,,,,
4_4,KO,Mamdc2,25.77,25.77,11.575,,26.99386537,,,,,6.69,,,,
4_4,KO,Mamdc2,25.77,,,,,,,,,,,,,
9_3,KO,Mamdc2,23.82,23.905,10.43,,,,,,,5.175,,,,
9_3,KO,Mamdc2,23.99,,,,,,,,,,,,,
2_1,WT,Mamdc2,23.99,23.965,10.68,10.3075,,,,,,5.42,5.17,,,
2_1,WT,Mamdc2,23.94,,,,,,,,,,,,,
2_3,WT,Mamdc2,24.97,24.975,11.265,,0.556693042,,,,,5.97,,,,
2_3,WT,Mamdc2,24.98,,,,23.18411392,,,,,,,,,
3_5,WT,Mamdc2,24.66,24.6,9.385,,25.41088608,,,,,4.59,,,,
3_5,WT,Mamdc2,24.54,,,,,,,,,,,,,
9_1,WT,Mamdc2,23.66,23.65,9.9,,,,,,,4.7,,,,
9_1,WT,Mamdc2,23.64,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,Mtap1a,25.21,25.755,11.53,11.8275,0.58625,0.666071981,-1.501339237,,,6.62,6.885,0.78125,0.581862429,-1.718619298
1_13,KO,Mtap1a,26.3,,,,,,,,,,,,,
4_1,KO,Mtap1a,26.24,26.62,11.945,,0.928316449,,,,,7.225,,,,
4_1,KO,Mtap1a,27,,,,24.1133671,,,,,,,,,
4_4,KO,Mtap1a,26.83,26.725,12.53,,27.8266329,,,,,7.645,,,,
4_4,KO,Mtap1a,26.62,,,,,,,,,,,,,
9_3,KO,Mtap1a,25.11,24.78,11.305,,,,,,,6.05,,,,
9_3,KO,Mtap1a,24.45,,,,,,,,,,,,,
2_1,WT,Mtap1a,24.45,24.255,10.97,11.24125,,,,,,5.71,6.10375,,,
2_1,WT,Mtap1a,24.06,,,,,,,,,,,,,
2_3,WT,Mtap1a,25.72,25.935,12.225,,0.721475423,,,,,6.93,,,,
2_3,WT,Mtap1a,26.15,,,,23.78829915,,,,,,,,,
3_5,WT,Mtap1a,25.66,25.72,10.505,,26.67420085,,,,,5.71,,,,
3_5,WT,Mtap1a,25.78,,,,,,,,,,,,,
9_1,WT,Mtap1a,25.01,25.015,11.265,,,,,,,6.065,,,,
9_1,WT,Mtap1a,25.02,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,OPN4,34.55,36.42,22.195,22.885,11.48125,0.000349784,-2858.911014,,,17.285,17.9425,11.67625,0.000305561,-3272.66451
1_13,KO,OPN4,38.29,,,,,,,,,,,,,
4_1,KO,OPN4,39.97,39.97,25.295,,2.155523138,,,,,20.575,,,,
4_1,KO,OPN4,N/A,,,,32.57895372,,,,,,,,,
4_4,KO,OPN4,34.91,34.91,20.715,,41.20104628,,,,,15.83,,,,
4_4,KO,OPN4,N/A,,,,,,,,,,,,,
9_3,KO,OPN4,35.72,36.81,23.335,,,,,,,18.08,,,,
9_3,KO,OPN4,37.9,,,,,,,,,,,,,
2_1,WT,OPN4,24.53,24.445,11.16,11.40375,,,,,,5.9,6.26625,,,
2_1,WT,OPN4,24.36,,,,,,,,,,,,,
2_3,WT,OPN4,26.38,26.38,12.67,,8.050862864,,,,,7.375,,,,
2_3,WT,OPN4,2.57,,,,6.315774272,,,,,,,,,
3_5,WT,OPN4,25.92,25.835,10.62,,38.51922573,,,,,5.825,,,,
3_5,WT,OPN4,25.75,,,,,,,,,,,,,
9_1,WT,OPN4,24.97,24.915,11.165,,,,,,,5.965,,,,
9_1,WT,OPN4,24.86,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,Pcdh10,22.17,22.31,8.085,8.12625,0.14,0.907519155,-1.101905116,,,3.175,3.18375,0.335,0.792784137,-1.261377409
1_13,KO,Pcdh10,22.45,,,,,,,,,,,,,
4_1,KO,Pcdh10,22.34,22.345,7.67,,0.332928027,,,,,2.95,,,,
4_1,KO,Pcdh10,22.35,,,,21.67289395,,,,,,,,,
4_4,KO,Pcdh10,23.01,22.45,8.255,,23.00460605,,,,,3.37,,,,
4_4,KO,Pcdh10,22.45,,,,,,,,,,,,,
9_3,KO,Pcdh10,21.97,21.97,8.495,,,,,,,3.24,,,,
9_3,KO,Pcdh10,21.97,,,,,,,,,,,,,
2_1,WT,Pcdh10,21.38,21.365,8.08,7.98625,,,,,,2.82,2.84875,,,
2_1,WT,Pcdh10,21.35,,,,,,,,,,,,,
2_3,WT,Pcdh10,21.81,21.94,8.23,,0.553016081,,,,,2.935,,,,
2_3,WT,Pcdh10,22.07,,,,20.87021784,,,,,,,,,
3_5,WT,Pcdh10,22.66,22.775,7.56,,23.08228216,,,,,2.765,,,,
3_5,WT,Pcdh10,22.89,,,,,,,,,,,,,
9_1,WT,Pcdh10,21.89,21.825,8.075,,,,,,,2.875,,,,
9_1,WT,Pcdh10,21.76,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,Peli2,20.26,20.365,6.14,6.0125,-0.44875,1.364857186,-0.73267739,,,1.23,1.07,-0.25375,1.192302244,-0.83871351
1_13,KO,Peli2,20.47,,,,,,,,,,,,,
4_1,KO,Peli2,20.36,20.295,5.62,,0.366567086,,,,,0.9,,,,
4_1,KO,Peli2,20.23,,,,19.42186583,,,,,,,,,
4_4,KO,Peli2,20.38,20.385,6.19,,20.88813417,,,,,1.305,,,,
4_4,KO,Peli2,20.39,,,,,,,,,,,,,
9_3,KO,Peli2,19.53,19.575,6.1,,,,,,,0.845,,,,
9_3,KO,Peli2,19.62,,,,,,,,,,,,,
2_1,WT,Peli2,19.77,19.825,6.54,6.46125,,,,,,1.28,1.32375,,,
2_1,WT,Peli2,19.88,,,,,,,,,,,,,
2_3,WT,Peli2,20.31,20.42,6.71,,0.528162245,,,,,1.415,,,,
2_3,WT,Peli2,20.53,,,,19.39492551,,,,,,,,,
3_5,WT,Peli2,21.1,21.175,5.96,,21.50757449,,,,,1.165,,,,
3_5,WT,Peli2,21.25,,,,,,,,,,,,,
9_1,WT,Peli2,20.57,20.385,6.635,,,,,,,1.435,,,,
9_1,WT,Peli2,20.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,Pgm2,20.07,20.16,5.935,5.57875,0.08625,0.941968029,-1.061607156,,,1.025,0.63625,0.28125,0.822877739,-1.21524736
1_13,KO,Pgm2,20.25,,,,,,,,,,,,,
4_1,KO,Pgm2,19.86,19.84,5.165,,0.433472276,,,,,0.445,,,,
4_1,KO,Pgm2,19.82,,,,18.85430545,,,,,,,,,
4_4,KO,Pgm2,19.83,19.82,5.625,,20.58819455,,,,,0.74,,,,
4_4,KO,Pgm2,19.81,,,,,,,,,,,,,
9_3,KO,Pgm2,19.02,19.065,5.59,,,,,,,0.335,,,,
9_3,KO,Pgm2,19.11,,,,,,,,,,,,,
2_1,WT,Pgm2,19.1,19.1,5.815,5.4925,,,,,,0.555,0.355,,,
2_1,WT,Pgm2,19.1,,,,,,,,,,,,,
2_3,WT,Pgm2,19.22,19.295,5.585,,0.57829182,,,,,0.29,,,,
2_3,WT,Pgm2,19.37,,,,18.32591636,,,,,,,,,
3_5,WT,Pgm2,20.32,20.405,5.19,,20.63908364,,,,,0.395,,,,
3_5,WT,Pgm2,20.49,,,,,,,,,,,,,
9_1,WT,Pgm2,19.1,19.13,5.38,,,,,,,0.18,,,,
9_1,WT,Pgm2,19.16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,Pgm2I1,20.48,20.7,6.475,6.3,0.33375,0.793471329,-1.260284982,,,1.565,1.3575,0.52875,0.693155047,-1.442678668
1_13,KO,Pgm2I1,20.92,,,,,,,,,,,,,
4_1,KO,Pgm2I1,20.55,20.6,5.925,,0.35503521,,,,,1.205,,,,
4_1,KO,Pgm2I1,20.65,,,,19.73242958,,,,,,,,,
4_4,KO,Pgm2I1,20.32,20.515,6.32,,21.15257042,,,,,1.435,,,,
4_4,KO,Pgm2I1,20.71,,,,,,,,,,,,,
