Sample,Genotype,Gene,Ct,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
7_1,WT,Gpsm2,23.02,,,,,,,,,,,,,
7_2,WT,Gpsm2,22.96,23.025,10.33,,,,,,,5.565,,,,
7_2,WT,Gpsm2,23.09,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Hprt,17.51,17.525,8.225,7.795,0.59625,0.661471086,-1.511781877,,,0,0,0,1,-1
5_3,KO,Hprt,17.54,,,,,,,,,,,,,
6_3,KO,Hprt,17.44,17.475,8.715,,,,,,,0,,,,
6_3,KO,Hprt,17.51,,,,,,,,,,,,,
7_5,KO,Hprt,17.79,17.925,9.61,,,,,,,0,,,,
7_5,KO,Hprt,18.06,,,,,,,,,,,,,
7_7,KO,Hprt,17.59,17.69,4.63,,,,,,,0,,,,
7_7,KO,Hprt,17.79,,,,,,,,,,,,,
5_1,WT,Hprt,17.58,17.74,4.76,7.19875,,,,,,0,0,,,
5_1,WT,Hprt,17.9,,,,,,,,,,,,,
6_4,WT,Hprt,17.54,17.675,9.79,,,,,,,0,,,,
6_4,WT,Hprt,17.81,,,,,,,,,,,,,
7_1,WT,Hprt,17.51,17.59,9.48,,,,,,,0,,,,
7_1,WT,Hprt,17.67,,,,,,,,,,,,,
7_2,WT,Hprt,17.23,17.46,4.765,,,,,,,0,,,,
7_2,WT,Hprt,17.69,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Hspa4,17.27,17.265,7.965,7.71,0.56375,0.676541341,-1.478106273,,,-0.26,-0.085,-0.0325,1.022782939,-0.977724561
5_3,KO,Hspa4,17.26,,,,,,,,,,,,,
6_3,KO,Hspa4,17.34,17.455,8.695,,,,,,,-0.02,,,,
6_3,KO,Hspa4,17.57,,,,,,,,,,,,,
7_5,KO,Hspa4,17.82,17.87,9.555,,,,,,,-0.055,,,,
7_5,KO,Hspa4,17.92,,,,,,,,,,,,,
7_7,KO,Hspa4,17.63,17.685,4.625,,,,,,,-0.005,,,,
7_7,KO,Hspa4,17.74,,,,,,,,,,,,,
5_1,WT,Hspa4,17.62,17.755,4.775,7.14625,,,,,,0.015,-0.0525,,,
5_1,WT,Hspa4,17.89,,,,,,,,,,,,,
6_4,WT,Hspa4,17.5,17.65,9.765,,,,,,,-0.025,,,,
6_4,WT,Hspa4,17.8,,,,,,,,,,,,,
7_1,WT,Hspa4,17.48,17.48,9.37,,,,,,,-0.11,,,,
7_1,WT,Hspa4,17.48,,,,,,,,,,,,,
7_2,WT,Hspa4,17.25,17.37,4.675,,,,,,,-0.09,,,,
7_2,WT,Hspa4,17.49,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Hsph1,25.12,25.01,15.71,15.07,0.115,0.923382311,-1.082975046,,,7.485,7.275,-0.48125,1.395952643,-0.716356679
5_3,KO,Hsph1,24.9,,,,,,,,,,,,,
6_3,KO,Hsph1,25.42,25.315,16.555,,,,,,,7.84,,,,
6_3,KO,Hsph1,25.21,,,,,,,,,,,,,
7_5,KO,Hsph1,25.01,24.965,16.65,,,,,,,7.04,,,,
7_5,KO,Hsph1,24.92,,,,,,,,,,,,,
7_7,KO,Hsph1,24.27,24.425,11.365,,,,,,,6.735,,,,
7_7,KO,Hsph1,24.58,,,,,,,,,,,,,
5_1,WT,Hsph1,25.07,25.09,12.11,14.955,,,,,,7.35,7.75625,,,
5_1,WT,Hsph1,25.11,,,,,,,,,,,,,
6_4,WT,Hsph1,26.02,26.025,18.14,,,,,,,8.35,,,,
6_4,WT,Hsph1,26.03,,,,,,,,,,,,,
7_1,WT,Hsph1,25.25,25.135,17.025,,,,,,,7.545,,,,
7_1,WT,Hsph1,25.02,,,,,,,,,,,,,
7_2,WT,Hsph1,25.01,25.24,12.545,,,,,,,7.78,,,,
7_2,WT,Hsph1,25.47,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Insm1,18.27,18.185,8.885,8.685,0.53,0.692554734,-1.443929196,,,0.66,0.89,-0.06625,1.046991696,-0.955117413
5_3,KO,Insm1,18.1,,,,,,,,,,,,,
6_3,KO,Insm1,18.16,18.17,9.41,,,,,,,0.695,,,,
6_3,KO,Insm1,18.18,,,,,,,,,,,,,
